,label
17348,1
22619,0
8745,0
5292,0
35424,1
25577,0
38848,0
13754,0
37997,1
6600,0
7678,0
109,0
25309,0
4056,0
30135,1
21028,1
12005,0
17977,0
10854,1
6933,0
16316,1
23031,0
10311,1
36186,0
18308,1
36910,1
25438,0
18338,1
31178,0
2650,0
25258,0
37020,0
13471,0
20769,0
7090,1
21425,1
32612,0
29707,1
5667,1
21331,0
18985,1
26051,1
6433,1
29691,1
18444,1
36917,0
8368,0
28895,0
33431,1
7122,1
32534,1
13623,0
20458,0
27583,1
12430,1
17125,0
17315,1
27341,0
11215,0
26187,0
34062,1
38604,1
32081,0
25930,0
14942,1
2158,1
6742,0
32274,1
37577,0
6043,1
33592,1
39996,1
26558,0
686,1
38776,0
33951,1
27855,0
24374,0
23276,1
11198,1
39110,1
39494,0
17863,0
38888,0
31648,1
21161,0
35718,1
35140,0
33519,1
18973,0
13835,1
39175,0
25400,1
14993,1
24072,0
31352,1
21936,1
35476,1
40,0
34921,0
34798,0
28465,1
2325,1
18754,1
13529,0
24558,1
32132,1
682,1
33231,0
25753,1
37366,0
3935,0
9152,0
3792,1
10984,1
39771,0
20730,0
39894,1
28171,1
7419,0
37852,1
7964,0
29652,1
10090,1
3604,0
21669,1
8668,1
27113,0
11790,1
30623,0
1647,1
17447,0
36442,1
4559,0
8248,0
6620,0
37739,0
14794,1
40339,0
9027,0
13624,0
13657,0
11823,0
31125,0
34652,1
20398,1
11810,0
28848,1
13976,0
15057,1
37283,0
8857,1
1992,1
20275,1
27585,1
19690,1
5754,1
29747,0
34580,1
11212,1
30219,0
20310,0
10721,0
39909,1
24121,1
28053,1
15652,0
20326,1
17403,1
1291,0
8445,0
21502,1
15553,1
8508,0
13126,1
6556,1
37783,0
30221,1
38536,0
5211,0
33736,1
3220,1
22103,0
35326,1
36347,0
3931,1
19387,1
1640,0
12831,1
5787,0
23500,0
18638,0
34362,0
10955,0
3445,0
13958,1
28886,1
2322,0
5954,0
11376,0
1323,1
36998,0
27274,0
19779,1
27539,1
30928,1
14029,1
26004,0
18221,1
30985,1
12434,0
29363,1
13040,0
24477,0
3388,1
13035,1
36702,0
38828,0
31218,0
25656,0
23657,0
5525,1
34870,1
8829,1
37727,1
14660,1
1930,1
9723,1
14020,1
34334,1
20919,1
36226,0
6048,0
37478,1
16716,1
8474,0
18270,0
34616,0
40075,1
34860,0
11086,0
30706,1
32029,0
17244,1
22533,0
17859,1
40433,0
9391,1
37175,0
24551,0
24567,0
28367,1
37735,0
22720,0
28736,0
25281,0
3698,1
35072,0
18278,0
27768,1
37564,0
21245,1
14922,1
35928,1
953,0
23358,1
15331,1
13804,0
24247,1
24720,1
36354,1
608,0
28665,0
37815,0
5822,0
354,1
17736,0
2744,1
12571,0
29034,1
9905,0
18355,0
25489,0
31247,0
23362,0
19148,1
37244,0
31677,1
14206,1
32454,0
18999,0
23294,1
29868,1
36290,1
3942,1
19866,0
24825,1
9731,0
29998,1
1392,0
23982,1
37022,0
20479,1
27363,0
198,0
33894,0
26891,0
29308,1
14261,1
40312,0
30626,1
31618,0
7560,1
21531,1
27067,1
20984,0
17354,0
7427,1
34791,0
9312,1
14623,0
18884,1
39571,1
6233,0
39669,1
34091,0
6246,1
28569,1
31529,1
36927,0
21108,1
429,0
6650,0
4943,0
25836,1
5841,0
6670,1
26793,0
28487,1
6948,1
38712,1
21721,1
14945,0
20962,0
29468,1
12384,1
25531,0
9238,0
1557,0
12783,0
21898,1
14321,1
26245,0
40145,1
14672,1
37866,1
16846,0
36928,0
20185,1
35338,0
17759,0
14478,0
15452,1
27702,1
34833,1
6434,0
18153,0
16046,1
32552,1
262,0
1503,0
17031,1
14857,0
7563,1
26529,1
8909,1
39371,1
3350,1
1464,1
9747,1
6809,0
33084,1
33095,0
3619,1
37074,1
3102,1
20892,1
10277,1
29175,1
18264,0
24691,0
33501,1
7409,1
37121,1
24517,1
37298,0
39938,0
20781,1
24038,1
1911,1
8147,0
37197,0
34063,0
34906,0
6328,1
10697,0
20048,0
1736,0
23807,0
32504,0
14467,0
37273,1
16822,0
3855,0
13649,1
10428,0
20212,1
6821,1
6769,1
7289,0
21866,1
16834,1
30883,0
1681,1
11192,1
38557,1
36597,1
10882,1
34735,0
38856,1
624,1
20075,1
1278,1
9932,0
9473,0
32086,1
39313,1
30047,1
1673,1
21299,0
17511,1
31868,1
11910,1
12338,0
27380,0
23261,0
27749,0
39330,0
25295,0
33022,0
32918,0
4619,0
9062,1
18616,0
24156,0
30498,1
30327,1
3568,1
33833,0
36406,0
31701,1
37493,1
8648,0
9641,1
3000,0
11373,0
1484,0
13364,1
35766,1
35775,0
8135,0
1398,0
27029,0
6662,0
27249,0
29654,0
7149,0
17678,0
8116,1
26031,1
30848,0
1457,0
28845,0
7586,1
28005,1
21064,0
39525,0
32322,0
14470,0
25222,0
27444,0
39673,0
7800,1
24927,1
8931,0
3177,1
24605,1
13468,1
5991,1
12890,0
39661,0
36672,1
655,0
6814,0
17204,1
323,1
3243,1
12484,1
22642,0
33165,1
28031,1
22510,1
11960,1
40437,1
7817,0
20406,1
35391,0
304,0
19066,1
24413,1
35819,1
1682,1
31438,1
9645,1
16883,1
9134,1
39508,1
14943,1
39629,0
19635,0
2791,1
24167,0
16860,0
39857,0
7753,0
23056,1
6612,1
11976,1
27501,1
35419,1
35469,1
26969,0
36778,0
37608,1
31061,1
23597,0
4949,0
36376,0
9444,1
40428,0
13797,0
21704,0
6660,0
36209,0
3488,0
2299,0
4034,1
11466,1
33278,0
20177,1
9263,1
3581,0
25381,1
962,0
17150,1
7905,0
23819,0
23224,1
31588,1
1962,1
25252,1
39618,0
20563,1
38597,1
5847,1
7945,0
35269,0
8913,0
18920,1
28331,0
20399,0
11812,1
33151,1
30692,0
30689,0
26361,0
23627,0
5536,0
38999,0
12068,0
30619,1
22532,1
550,1
5134,1
39876,1
31542,0
12895,0
37340,1
8317,0
35516,1
2445,0
38758,1
22568,1
70,1
19334,0
10445,1
24586,0
2757,1
853,1
13172,0
15241,0
40365,1
15594,1
39064,1
36330,0
25723,1
35322,1
2494,1
36986,0
29291,1
40076,0
23014,1
9992,0
23427,1
17487,0
14695,0
4932,0
128,1
30367,0
3876,1
34960,1
15959,1
38666,0
28042,1
15908,1
22460,1
35573,1
27538,0
40136,0
28591,1
30322,0
6753,1
39338,1
16408,1
24712,1
32177,0
5226,1
29858,1
40059,1
17319,1
22089,1
26664,1
31202,1
31718,1
19448,0
32455,0
15205,0
19082,1
13497,0
30353,1
24803,0
23298,1
26344,0
24467,0
33476,0
22307,0
4032,1
25873,1
6134,1
20152,0
24755,0
29477,1
19824,0
21519,0
29397,0
29008,1
19698,0
39040,0
8844,0
38755,0
5646,0
11858,1
14829,0
7989,0
5053,0
4639,1
31769,0
17259,1
19964,1
28543,0
17626,1
15980,0
12989,0
37840,0
14279,1
36906,0
23084,0
1467,1
9648,0
6871,1
7780,1
9681,1
22879,1
31330,0
9556,1
19401,0
16247,0
16401,0
5920,1
33426,0
16398,0
32367,1
11070,1
14940,1
9667,0
4647,0
15483,1
15809,0
15789,0
37176,0
32771,1
19580,1
20636,1
32428,1
20846,0
34419,1
24505,0
3564,1
14176,0
29924,0
27254,1
34204,0
33714,0
34523,1
5225,1
22832,0
15944,1
15307,0
24633,1
13099,0
10424,0
6399,0
32727,0
1483,0
2531,1
3277,1
14649,1
13287,0
14981,0
20341,1
25349,0
32839,0
18742,1
7892,1
19139,0
18439,0
29532,0
14402,1
16341,1
7821,0
19321,0
19545,0
31091,1
21765,1
13059,1
13924,0
28623,1
31296,1
27700,0
13370,0
32785,1
25177,1
33646,1
32521,1
4508,0
37246,1
34592,1
25802,0
24719,1
943,0
36206,0
26578,0
12564,0
14788,0
39116,1
6887,1
13825,0
11879,1
2174,1
28424,0
1331,0
19132,1
29463,1
30305,0
33373,0
7732,0
15351,0
25478,0
15521,0
12431,1
31665,0
38701,0
3150,1
34254,1
35745,0
926,0
37661,1
16511,0
7743,0
11942,1
15129,0
29386,0
2362,0
38653,0
2585,0
21284,1
10059,1
35501,1
27482,1
10476,1
3548,0
30289,1
6549,0
15851,0
8780,0
24481,1
3154,1
34990,1
936,1
31220,1
30199,1
28098,0
1687,1
3108,1
14217,0
18925,1
14647,1
28509,0
11438,1
35970,0
31235,1
28910,1
17531,0
36257,1
29939,0
15555,1
36556,1
22910,1
30055,0
31775,1
14929,0
28808,0
14197,0
23972,1
18462,0
31426,0
4156,1
25681,0
39106,0
39656,1
29930,1
3105,1
35726,1
13787,1
18810,0
39596,0
34530,0
14492,1
27288,1
29753,0
1791,0
31856,1
12524,1
16810,1
29237,1
17624,0
18697,1
39490,1
12711,0
8256,1
18094,0
20386,1
17278,1
30244,0
27536,0
32537,1
4009,0
37712,0
1731,1
24176,0
11313,0
8564,1
2331,1
26300,1
38832,0
12957,1
17792,0
8786,0
9520,0
12119,1
4672,1
36312,0
18537,0
26005,1
12574,1
5654,0
39730,0
18491,1
311,1
29109,1
5946,0
23734,0
6346,1
1430,1
26238,0
34301,0
2915,1
20020,1
11238,0
29246,0
6390,0
27895,1
18949,1
8658,1
23948,1
26596,0
31459,1
15292,1
5034,1
9116,1
2541,0
29021,0
14005,1
14359,0
33229,1
30212,1
15109,0
38570,1
19672,1
3798,1
5683,0
15681,0
29811,1
28061,1
36499,1
39390,0
4850,1
29423,1
15800,0
12378,1
22461,1
6551,0
8238,1
14836,0
2992,1
9880,1
35329,0
10152,1
24084,1
18272,1
22950,0
11807,1
35719,1
27070,0
35856,1
8293,1
1895,1
2000,0
40422,0
37659,0
39307,0
22799,0
16019,1
12584,0
12212,0
38762,0
37318,0
6112,0
29433,0
31387,0
27225,1
18207,0
31859,0
5726,0
23103,1
14208,1
30117,1
11368,1
3933,0
4029,0
27872,0
1395,1
35891,1
27279,0
38840,1
18363,1
6496,0
21553,0
24332,1
37351,0
6119,1
12586,1
20520,0
31469,0
37453,0
18900,1
16690,0
35734,0
13267,1
27658,1
34160,0
13053,0
7142,1
40085,0
16334,1
39461,0
14295,1
1829,1
8471,0
15912,1
1072,0
38068,0
36215,0
33607,0
14300,1
19892,1
36963,1
5342,0
28819,0
7886,0
20656,0
27171,0
26795,0
9211,1
12426,0
38584,0
3899,1
14264,1
32240,1
32131,0
36392,0
21342,1
15610,1
469,0
24490,1
2351,1
4449,0
10887,0
36075,1
32309,0
11635,1
20658,1
26453,0
11098,1
1453,0
11958,1
5853,1
15375,0
22271,0
39218,0
22952,0
9303,0
25144,0
12423,1
144,1
32133,0
25444,1
22682,1
22529,1
28553,1
22935,0
34802,1
16328,0
1426,0
38877,0
23256,1
15030,1
10665,0
31974,1
30267,0
27836,1
39910,1
35785,1
6222,1
1077,1
7915,1
26002,0
11342,1
16696,1
15747,0
9169,1
2554,0
19193,1
3719,0
12949,0
2055,0
16629,1
16109,0
34286,1
29020,1
10241,0
22267,0
22632,1
38543,1
24358,1
1034,0
34193,0
25429,0
38181,0
10134,0
33258,1
8087,0
15315,0
896,0
15978,1
22635,1
879,0
33199,1
35050,0
29617,1
22894,1
40035,1
17236,0
11592,0
22038,1
23532,0
39201,0
18218,1
38923,0
9270,1
25061,0
23342,0
35004,0
39038,0
22408,1
17247,0
17999,1
27378,1
2645,0
5001,0
20854,1
9810,0
13842,1
5881,1
35166,0
12705,0
32012,0
1796,1
4506,0
470,0
30374,1
18487,1
36857,0
15570,1
30601,0
29558,0
2980,0
9010,1
38692,0
27797,0
27260,1
36297,0
23213,1
3049,0
26766,0
9100,0
25418,0
33696,1
34821,1
5676,0
20633,1
38471,0
29690,0
5045,0
8413,1
23339,1
13,0
34288,0
33950,1
26152,1
18892,1
26513,1
31886,1
28745,0
31723,0
1418,1
3214,1
2020,0
1319,1
23623,1
5201,0
39862,0
27947,1
33632,0
18245,0
34226,0
10091,1
14182,0
6193,0
40175,1
30375,0
7298,1
10353,0
32436,0
23372,1
40097,1
5936,0
6492,0
17914,0
2296,0
15056,0
8721,1
22341,0
28070,0
2741,1
1536,0
4165,1
21396,1
14398,0
5572,0
28448,0
28739,0
29735,1
7594,0
34649,1
14921,0
1043,1
1786,1
1784,0
16268,0
1213,0
33218,1
499,1
14285,0
38524,0
9410,1
32386,0
28023,0
2300,1
11917,1
2830,1
20082,0
29406,1
38640,1
29549,1
4500,0
36755,1
8295,0
21218,0
24295,1
35489,0
10496,0
38205,1
10859,1
36720,1
36014,1
12986,0
10565,1
30855,1
39095,0
37355,1
26409,1
40193,1
35540,0
24713,0
32453,1
7478,0
26259,1
36480,1
5321,0
631,1
18134,1
2635,0
9448,1
12701,1
24061,1
35723,0
16790,0
10299,0
15276,0
9378,0
20507,1
7573,1
37439,1
27550,1
37774,1
38901,1
22512,0
24171,1
4160,1
33200,0
6245,0
23598,1
24227,0
13041,1
25434,0
34934,0
30647,1
37668,0
30590,0
37127,1
22247,0
25999,1
16305,1
29310,1
3253,0
5395,1
27102,0
27080,1
1174,1
32571,0
25565,1
7745,0
16609,0
14303,1
10008,1
596,0
14513,0
19757,1
21048,0
8296,1
27668,1
21393,1
35271,1
1478,1
30381,1
1078,0
13581,1
5504,1
22552,1
17162,0
13534,0
471,1
18408,0
34272,1
31884,1
14132,1
10968,0
31141,0
30223,0
16317,1
16812,1
15125,0
24192,0
21987,0
24974,1
26702,1
20019,0
10484,0
31432,1
39052,0
4384,0
33670,0
25543,1
14169,1
34302,0
2269,1
34746,1
8339,1
20904,1
34477,1
18550,0
33368,1
32752,1
35955,1
12525,0
5501,0
23041,1
7779,1
32291,1
1566,0
428,1
14711,1
5411,0
27989,1
12350,1
96,1
27859,1
37676,1
33936,0
5923,0
36143,0
4962,0
18670,0
5011,1
8477,0
13694,1
5421,1
34805,0
19137,1
4556,1
4729,0
15079,0
1162,1
36031,1
37474,1
4351,1
31434,0
35716,1
33191,0
6698,1
2907,1
1413,1
28035,0
21232,1
28002,0
34646,0
23169,0
32824,0
13282,0
13108,1
40409,1
26203,1
18788,0
34231,0
28727,1
19470,0
447,1
3986,1
800,1
37274,1
28037,1
28121,1
9830,1
33901,0
37345,1
27395,1
9790,0
38096,0
20883,1
23114,0
2265,1
19243,1
15556,0
6206,1
38730,1
30331,0
34170,0
3230,1
9739,0
34711,0
39399,0
5071,0
32256,0
34499,0
1562,1
584,1
2885,0
29911,0
9588,0
32372,0
37245,0
4851,0
18131,0
33257,0
13247,0
3922,0
9129,0
36886,0
32139,0
36138,0
12044,0
29347,1
6521,1
8895,1
28012,1
39931,1
2761,1
86,0
724,1
24593,0
18451,0
14229,0
30333,1
15421,0
23496,1
11247,0
22395,0
6803,1
25109,0
38225,1
32109,0
14615,0
34995,0
32756,1
37882,0
7325,0
6315,1
12724,0
7665,0
8482,0
3460,1
10092,1
32621,0
1023,0
3161,1
19745,0
30104,0
11941,0
32941,1
7578,1
33859,0
5478,0
11359,1
35764,1
11306,0
1763,1
5306,0
29737,1
23203,1
1270,1
23133,0
30240,1
10869,1
36733,0
1232,1
5843,0
34145,1
28943,1
13459,1
24438,0
22862,1
5815,0
34373,1
24560,0
30170,0
6524,1
32631,0
21798,0
22046,1
26889,0
38137,0
8124,0
6757,0
1303,1
4047,0
11048,1
8305,0
3265,1
1599,1
2149,1
30469,1
16808,1
25246,0
14971,0
3104,1
37408,0
17984,0
21439,1
19052,1
40425,0
16178,0
14280,0
15931,1
2133,0
29824,1
31509,1
12505,0
6420,1
8960,1
27531,1
9469,0
26706,1
29748,1
14518,0
19998,1
10453,0
36067,0
39585,1
26976,0
7431,0
39212,1
39103,1
4738,1
38131,1
36726,1
22279,1
2116,1
11699,0
25944,1
15158,0
7656,0
29479,0
20770,0
16847,0
38644,0
263,0
34845,1
26836,0
273,1
14009,0
31149,1
6324,1
27942,1
32748,0
37571,1
1194,0
10595,1
7449,1
39573,0
5304,0
13630,1
22034,0
10312,1
6988,1
12627,1
30361,1
34295,0
36930,1
12292,1
9512,0
12650,1
3928,0
39641,1
40449,1
3356,0
31796,0
3441,0
15593,1
2982,0
28827,0
27072,1
21272,0
7579,0
28269,1
18490,0
12969,1
1157,0
39823,0
31936,1
25542,1
28520,1
27474,1
36494,0
34425,0
33388,0
12968,1
15243,0
8106,1
28567,0
12038,0
18186,1
31147,1
9647,0
19678,0
8713,0
343,1
18937,1
34723,1
12556,0
5576,0
13926,0
36821,0
30394,1
27235,0
2308,1
26150,1
21794,1
11963,0
10331,1
9793,1
29567,1
25273,0
1699,1
35666,0
27593,1
17876,1
16758,1
21082,1
20268,1
8543,1
8013,0
34027,1
8615,1
13573,1
505,1
12216,0
23534,1
30356,0
30792,0
24065,0
2528,1
5535,0
34319,1
30939,1
3438,1
36921,0
8019,1
34154,0
33091,0
39017,1
3502,0
322,0
17723,0
27400,0
4824,1
25541,1
33945,1
17860,1
3269,1
10333,1
13077,1
34222,1
35064,1
12732,0
30927,1
10915,0
621,0
9194,1
3115,0
29745,0
19850,1
18614,1
18701,1
21104,0
4157,0
14427,0
19826,1
28019,0
32461,0
20415,0
3836,0
18152,1
16079,0
28059,1
25228,0
17056,1
25331,0
509,1
35702,0
10421,0
12630,1
6926,0
17832,1
17751,1
10036,1
24645,1
7324,1
4203,0
18967,0
9381,0
33203,1
31540,0
40272,0
10153,1
15265,1
38323,0
23899,0
12599,1
35490,1
16621,1
23442,0
39288,0
36423,0
16530,0
37488,0
8403,0
15956,0
7117,1
38489,1
18859,1
21840,1
23850,0
31435,0
17704,1
22236,1
33805,0
748,1
5183,1
13574,0
377,0
35522,0
36773,1
16599,1
37717,0
7685,0
36018,1
40444,1
21855,0
9206,0
31208,0
29143,1
35990,1
25057,1
2868,0
21562,1
3461,0
6813,1
24457,1
3930,0
24213,0
20232,1
2240,1
12169,1
4811,1
14384,0
21382,1
13949,1
15423,0
27922,0
10079,1
180,1
32780,0
1616,1
30531,1
30202,1
9568,0
7201,0
6514,0
8270,0
35022,0
25512,1
40071,0
21422,1
34372,0
19304,0
3028,0
10370,1
33390,0
5326,1
5325,0
39652,0
18238,1
35587,1
38032,0
38030,0
34257,1
27439,1
2043,0
7462,1
32878,1
1243,1
12184,0
39176,1
4093,0
22871,1
32166,1
32548,1
12285,0
33513,0
20098,0
12654,0
37826,0
34134,1
14539,1
3018,1
30741,0
35117,1
1346,0
1179,0
38617,0
19318,1
24478,0
29593,0
11401,0
25885,1
2277,1
13889,0
21790,1
4580,0
6730,1
22125,0
26117,0
36360,0
31605,1
33244,1
32508,0
30481,1
18809,0
8939,1
19103,0
4400,0
5020,1
13583,0
39396,1
20285,0
28767,0
18053,1
37494,1
501,1
28119,1
28515,1
40012,0
19490,0
33549,0
26072,0
30068,1
4285,0
26712,1
25649,1
24198,0
27800,0
14156,1
18104,1
29533,1
34207,1
19535,0
316,1
19526,1
27756,0
6689,1
29108,1
31811,1
1332,1
28436,1
25962,1
22166,0
278,0
11487,1
2374,0
35725,1
5770,1
33311,1
39219,1
4201,1
30512,0
13544,1
4726,0
374,1
22204,1
2087,0
31824,1
33088,0
37415,1
30821,0
15368,1
19223,1
16837,1
32381,1
11711,1
29848,0
8354,0
36831,1
35925,0
17581,1
5886,1
32046,1
28585,1
19973,0
26716,1
22067,1
21752,1
8191,0
35592,1
8363,0
21916,0
33437,1
22639,0
13424,0
498,1
32832,0
38838,1
34224,0
3318,0
10709,1
20959,0
38250,1
25369,0
30001,1
16631,0
31323,1
23083,1
396,1
4810,1
15490,0
16111,1
27297,0
9761,0
30644,0
29025,1
3016,1
26978,1
37824,0
21489,0
25578,1
16825,1
20510,0
16765,0
16181,1
39770,0
20297,0
16425,0
17252,0
38499,1
27574,1
39026,1
19210,1
3979,0
20038,1
19078,0
24414,0
14243,0
35646,1
8639,1
26628,1
27851,0
20318,1
9925,1
33852,0
11836,0
23731,0
10798,0
24595,1
26056,0
13927,1
36154,1
25946,0
36348,0
