,label
8146,1
12389,1
5168,1
7178,0
36253,1
38028,1
16969,1
16545,0
21837,0
24369,0
31314,1
39450,1
35790,1
2476,0
40396,1
26714,0
39791,1
19734,1
9252,0
35637,0
31984,1
14320,1
6363,1
38696,0
35706,1
21154,1
11118,1
17949,0
22235,1
355,1
21620,0
18391,1
9418,0
19382,0
37152,1
35145,1
7011,0
31282,1
26232,1
4822,0
40150,1
32683,1
10356,1
8979,0
7063,0
10710,1
37371,0
21734,1
35958,1
10861,1
19022,0
9090,1
13160,1
30468,1
34187,1
30505,0
36676,1
7898,0
35874,1
6126,1
22874,0
12681,0
25417,1
34244,1
14766,1
33511,0
31518,0
16298,0
12958,0
37962,0
39367,1
18465,1
8133,1
31397,1
7204,0
14265,1
19248,0
20258,1
12037,1
21821,1
37062,0
18918,0
3639,0
6502,1
35754,0
6909,0
19126,0
17645,1
1514,1
37156,1
35043,0
30280,0
33087,1
22411,0
30983,0
9154,0
29044,0
13205,0
36757,1
22300,1
36923,1
24807,0
12346,1
17436,1
10689,1
575,1
11060,1
4189,0
18290,0
29704,1
3036,0
5604,1
36897,0
24780,0
13637,1
34901,0
39020,1
32614,1
11208,1
31772,0
16773,1
38112,0
11119,0
4209,0
4475,0
13061,1
30125,0
33645,1
30885,0
27238,1
25545,0
23346,0
21176,1
99,0
12946,0
23143,0
18399,0
38049,1
22712,1
34332,1
29692,1
33451,1
17484,0
8220,1
21910,1
27991,0
12143,0
22822,1
13659,0
34596,0
37625,1
9802,0
35319,0
6867,0
23098,1
3772,1
31611,1
5658,0
10470,1
33190,0
3787,0
22471,0
4688,0
28600,1
16332,1
5155,1
18398,0
36139,0
20366,0
23775,0
4399,1
34841,0
10827,0
36506,0
39821,0
21807,0
9153,1
38710,1
12880,1
32350,0
24157,0
23950,1
19057,1
28291,1
30210,1
26440,1
40483,1
22791,0
12156,1
15572,0
1635,0
1226,1
1008,1
8866,0
5477,0
16776,1
26792,0
7574,0
20686,1
22085,0
20816,1
21671,0
18649,0
22659,0
37253,1
27600,0
16381,1
12335,0
34714,0
12885,1
24448,0
19495,0
875,1
25015,1
27064,0
40092,0
20592,0
36721,1
38515,1
39732,1
26816,1
17364,1
28352,0
10577,1
27227,0
33923,0
16135,1
27562,1
38959,1
16904,0
20889,0
3714,1
837,0
21036,0
4003,1
3560,0
5139,0
19138,0
34114,0
12708,0
18577,1
7924,0
39948,0
37299,1
243,0
33588,0
36277,0
21708,1
35662,1
26095,1
15653,1
1859,0
29293,0
13150,0
23307,0
9293,1
3989,1
11146,0
32611,0
29010,0
6148,0
27074,1
16510,1
15842,0
17217,0
39671,1
10901,1
14545,0
5416,1
2908,1
3294,1
37482,0
11014,0
38255,1
7495,0
7022,1
34614,0
7103,1
3496,0
2449,1
22351,0
29101,0
4524,1
19291,1
20168,1
5547,1
34442,1
16804,1
34153,1
29910,0
36256,0
5514,0
1406,0
15268,1
3637,0
33186,1
30709,0
4759,0
28620,0
36867,1
25580,0
40304,0
34041,0
32640,0
24872,0
12354,1
5317,1
7080,0
38522,1
17782,1
2536,1
14658,1
7118,1
4716,0
17909,0
6872,1
14709,0
5472,0
24971,1
15242,0
27234,1
37993,0
7917,1
15260,0
13847,1
19124,1
31783,0
27791,1
23732,1
10174,1
16281,1
34466,1
37077,1
34182,0
26755,0
23537,0
26156,0
27852,0
26640,1
28283,1
34749,0
31142,1
38779,0
36890,0
39584,0
26008,0
29182,1
29253,1
23637,0
20814,0
6455,1
1923,1
8478,0
10642,0
16548,0
22734,0
18685,1
14224,1
8014,0
4614,0
4109,1
18115,1
40407,0
6355,1
11081,1
16050,1
26314,1
35088,1
8292,0
37087,1
20033,0
12774,0
14524,0
30323,1
26348,0
4121,0
37922,0
32586,1
38738,0
7075,1
2033,0
32729,0
22753,0
9771,1
23975,1
685,1
4375,0
15805,0
19966,0
40095,1
26834,1
23410,0
35447,0
17083,0
16681,0
8344,0
9517,1
7136,1
34508,0
6248,1
25099,1
6744,0
7850,1
2375,0
28325,1
3517,0
18114,0
35118,1
9774,1
14555,0
13405,1
11713,1
14501,1
2361,0
3480,0
6758,0
39475,0
14189,0
22526,1
1336,0
16270,0
25884,1
30732,1
15965,1
40164,1
2201,1
10930,0
15320,0
27084,0
10314,1
17644,1
4982,0
32659,1
1655,1
34605,0
22676,1
40166,0
14867,0
9137,0
24670,1
34169,0
177,0
15672,0
35260,1
38941,1
29628,0
30302,0
2059,1
8459,1
21374,0
30340,0
22850,0
21010,0
16169,0
11591,0
25704,1
4842,1
18828,1
18957,1
37267,1
21444,0
5135,1
7768,1
40155,0
19606,1
34706,0
29278,0
25950,0
34595,1
7442,0
35160,0
17722,0
35994,1
18618,1
12788,0
22324,1
39605,1
11448,1
14192,0
3198,1
4304,1
33389,0
23966,1
40439,1
12913,0
32276,1
24008,1
6876,1
13519,0
622,0
30281,0
12081,0
9188,1
39878,0
24607,0
39797,0
34512,0
30641,0
15529,0
7284,0
12908,1
19600,0
6896,0
32073,1
34548,1
14856,1
8514,0
7916,0
35938,1
14680,1
36179,1
6178,0
32859,1
3690,1
7936,0
20490,0
11578,0
9042,0
12486,0
22781,1
2208,0
6436,1
39469,0
25913,1
11857,1
18455,0
34006,1
39104,1
19165,1
18310,0
38145,1
2298,1
33773,1
22184,0
14131,0
22585,0
27730,0
6992,0
2388,0
29585,0
5556,1
27705,1
14998,1
13914,1
19922,0
14765,1
17002,1
12689,0
6067,0
8094,0
17742,1
18843,0
31093,0
2190,0
35552,0
28275,0
23680,0
1928,0
31261,0
8928,1
7801,1
16431,0
26704,0
39439,0
37600,0
13420,0
36993,1
34966,0
2404,1
5716,0
24372,0
13143,0
8180,1
6578,0
9383,0
7776,0
20916,0
30057,1
33955,0
1009,1
29708,1
40199,0
33137,0
35558,1
40311,1
16680,0
30167,1
2884,0
39869,1
878,0
11450,0
18609,1
27035,1
31838,0
23403,0
16656,1
7767,1
15435,0
39997,0
34684,1
28335,0
8525,0
37991,0
10231,1
25204,0
359,1
8136,1
26077,0
3132,0
35577,0
32358,0
34623,1
21830,0
20640,0
38912,0
25333,0
31306,0
28652,0
15165,1
13549,0
13642,1
19807,0
39692,1
32292,1
1328,1
28076,1
27686,0
17095,1
10771,1
13477,1
22362,0
21750,1
6951,1
25528,0
2796,1
29519,0
32909,0
36562,1
5073,0
7196,1
36126,0
5706,0
16914,1
12555,0
21495,0
1356,1
34125,0
19713,1
13377,1
28551,0
37923,1
12079,0
35243,0
34067,0
24189,1
286,1
39983,1
4161,0
23881,0
27986,0
20847,1
39660,0
26277,1
33014,0
16414,0
34945,0
14495,0
14600,1
13793,0
28319,0
39229,0
10608,0
33786,1
40434,0
9430,1
37470,0
27554,1
31553,1
15603,1
27468,1
22713,1
7164,0
10368,0
20978,1
2544,0
15277,1
20401,0
23858,0
13626,1
4119,1
11222,1
4258,0
9068,1
12080,0
27679,1
24459,1
31608,0
5844,1
7348,1
6300,1
10460,1
15211,0
20722,0
26678,1
15755,0
10182,0
39864,1
34112,0
23882,0
13911,1
30360,1
27807,0
13328,1
20174,0
2054,0
4880,0
34643,0
1261,0
5860,0
8213,1
18461,0
27736,0
4254,0
9085,0
38055,1
25240,0
9011,0
36032,1
677,0
22481,1
6341,1
5414,0
39408,1
40487,1
8544,1
10696,0
18468,1
26313,0
23217,0
10569,1
2616,0
4525,1
15854,0
30466,1
17161,1
37720,1
2584,1
18362,0
29247,1
2425,1
9875,1
27326,1
24721,0
20060,1
24211,1
23516,0
27411,1
24531,0
40361,1
35686,1
5634,1
14890,1
39209,1
33826,1
10812,1
25626,0
11895,1
35834,1
20499,0
16872,1
31084,0
5132,1
28104,0
36433,0
9897,1
8825,0
2715,1
21600,0
6422,1
5133,0
8511,1
37594,1
2211,0
4832,0
16366,0
32500,0
2918,1
13167,1
30685,1
18291,0
16256,0
32986,1
2533,0
17,0
29226,0
26491,0
26241,1
32403,0
9477,1
18798,0
30621,1
16420,0
40122,0
37139,1
25052,1
12481,1
13270,0
27280,1
21220,0
24654,1
4590,1
14458,1
19524,1
10879,1
18896,0
22505,1
37898,1
6029,0
13120,1
13312,0
11667,0
18995,0
32976,1
297,1
8487,1
39158,0
10594,1
2497,0
250,1
15507,1
8518,1
3103,1
22330,1
33605,1
32819,1
900,0
34743,1
24497,0
17542,0
39358,0
18772,0
32273,1
24013,1
33323,0
3120,1
11900,1
9167,0
14874,0
24894,1
6292,1
30100,1
36642,0
20190,0
16098,1
33242,1
1650,0
20433,0
140,0
9851,0
30814,0
9146,1
27802,0
14699,0
30430,0
34138,1
31204,1
33018,0
26194,1
29671,0
1956,1
30625,1
36885,0
24128,0
8943,0
31798,1
12151,1
28427,0
29797,1
22521,1
11762,1
26747,1
7387,1
20717,0
8468,0
33868,1
21056,0
38587,0
2817,1
36038,1
36900,1
4813,1
23686,0
32424,1
27854,0
28788,0
12469,0
38995,1
18463,1
3618,1
121,1
4577,0
13202,1
1148,1
3547,0
31180,0
33617,1
2376,0
36119,0
17854,0
10517,1
33046,1
2493,1
34403,0
36267,1
32022,1
25760,0
16730,0
12782,0
8138,1
22946,0
2937,0
29800,0
8134,1
3559,1
3528,0
8870,1
11661,1
10982,0
13800,1
4097,1
7708,1
19812,1
35025,0
7793,1
11543,0
11426,1
38558,0
34107,0
12921,0
6807,0
6258,0
17474,0
35112,0
15018,0
520,1
10084,0
22698,1
30006,0
12981,1
24410,1
38079,1
4264,1
32699,0
24617,0
12710,1
3579,1
13514,0
30123,0
25158,0
12053,1
19264,0
1117,0
32637,1
21997,1
3994,0
40036,1
4749,0
2878,0
24683,1
348,0
4847,0
8407,1
3469,1
12560,1
25080,0
3706,1
28502,0
30384,0
22508,1
214,1
3634,1
4072,1
19001,1
20005,1
12558,1
1664,1
2842,1
21189,0
35859,1
24695,0
1450,1
21964,1
17023,0
21893,1
27275,1
2242,0
18508,0
25286,0
25970,1
31163,1
36865,1
4343,1
32253,1
39349,1
20549,0
3116,1
34582,0
27664,0
33248,0
7137,1
10290,1
23390,0
28985,1
29394,0
13089,0
21073,1
513,1
24221,1
29577,1
19903,1
21490,1
28924,1
5823,1
35452,0
7751,0
14307,0
39626,0
33488,0
13166,0
17201,0
11181,0
21528,0
19718,1
35949,0
4216,1
17975,1
8574,1
21812,1
15705,1
12609,0
25865,1
20259,1
6352,1
6561,0
30899,0
22537,1
14273,0
7275,1
15239,0
23848,1
5528,0
4282,0
8542,1
18176,1
15750,0
26979,1
5522,1
36345,0
5665,0
3984,0
24776,1
33503,0
7185,0
21568,1
18136,0
23585,0
35379,0
40410,0
401,0
40127,0
30597,1
38333,0
4546,1
24334,0
20370,1
18794,0
28489,0
810,1
22342,1
13367,1
6906,0
7105,0
9498,0
16918,1
19525,0
26384,0
13586,1
33579,1
36448,1
34930,0
18979,1
29653,1
39189,0
40020,1
7828,0
38975,1
23693,1
23034,1
24238,1
32787,1
20260,1
292,0
16231,1
19959,1
40210,1
32592,0
27514,0
11396,1
1497,1
39677,0
36730,1
7451,0
28791,1
15286,0
3740,1
12010,0
7209,1
32438,1
14073,0
14871,1
6983,0
1997,1
33504,0
36901,0
27977,1
17841,0
21297,0
22996,0
35137,0
7010,1
18427,1
16858,0
39360,1
28108,0
20160,0
34401,1
36705,0
15742,0
32775,1
28866,1
3014,1
3344,1
37227,1
35348,1
28721,1
14361,0
30191,1
38905,1
35405,0
40323,1
39169,1
5904,1
1836,1
17025,0
6117,1
31756,0
13226,0
35846,0
15910,0
5047,1
38062,0
31559,1
38674,0
26876,0
7696,0
5679,1
11416,0
38295,1
19704,0
11997,1
27988,1
25481,0
26080,1
27596,1
10906,0
33540,1
35943,0
7978,0
14565,0
28759,1
37367,0
4545,0
23344,1
13658,1
38550,0
28198,0
1818,1
34013,1
40173,1
5862,1
28661,1
37365,0
1321,1
11045,1
747,1
39341,1
33597,0
7872,0
11177,0
23233,0
27652,1
14447,0
24184,1
15017,0
33857,1
27987,1
19598,0
1921,0
35030,1
2467,1
12110,0
15413,1
3268,0
2873,1
39845,1
8590,0
10884,1
36523,0
19889,0
7530,1
24988,1
36234,1
39426,1
14207,1
38814,0
11286,1
23506,1
19533,1
101,0
13745,1
12181,1
18388,1
63,1
39753,1
27010,0
2604,1
30182,0
20361,0
37207,1
9787,1
20218,1
16200,0
18583,0
5224,1
16068,0
28268,1
15230,1
17395,1
4391,0
21410,0
16071,1
33989,0
5138,0
6463,1
34751,0
25980,0
13360,1
19152,1
25239,0
33267,0
34271,1
7107,0
38368,1
11863,1
28356,0
12324,1
23044,1
20516,1
9302,0
28974,1
30343,1
26271,1
9333,0
14293,0
13458,0
22001,0
12619,0
21027,0
5245,1
1715,1
26497,1
20964,0
26235,0
23314,0
16647,1
16250,0
19205,1
13852,0
11176,0
5220,1
35997,0
19068,1
12512,0
30162,0
26967,0
27889,1
11389,0
795,0
581,1
2157,0
5673,0
14812,1
19913,0
27032,1
21901,0
15306,0
37271,0
5417,1
6445,0
18885,1
40320,0
27602,0
39591,1
5145,0
33545,0
9299,1
27421,0
971,1
892,1
14006,0
26934,0
26373,1
32782,1
32723,1
26983,1
24462,0
4953,0
35922,0
39634,0
30074,1
35658,1
36236,1
21995,0
4612,1
26173,0
38872,0
31937,1
29471,1
17104,0
29819,1
31199,0
35704,1
13738,0
1220,1
36098,1
32340,0
30871,0
22284,1
31402,1
34055,0
25139,1
10160,1
6011,1
28766,0
9807,0
19742,0
3125,0
28284,0
6977,1
33530,1
24689,1
38978,0
2264,0
28547,0
40214,1
15727,1
4831,0
11507,1
142,1
32949,0
31491,0
7267,1
33790,1
16266,1
3179,0
24210,0
17439,0
4101,1
20097,1
14759,1
25049,0
20001,1
19711,1
9414,0
8425,1
36689,1
32788,0
6070,1
10468,1
2090,0
5677,1
24378,1
33952,0
7051,1
12758,0
12967,0
3901,1
12208,0
33395,0
20965,1
11510,0
16815,0
36229,1
39252,0
20166,0
13728,1
40143,0
5628,1
6234,1
9625,0
22093,0
17250,0
29037,1
7534,0
19268,1
21847,1
26087,0
19983,1
2141,0
27377,0
32632,1
19088,1
25585,0
28418,0
37943,0
20650,1
27953,1
22793,1
26468,0
34079,1
3383,0
33616,1
15962,1
8370,0
26066,0
2435,1
24333,1
31246,0
22777,0
8579,1
37984,1
13069,1
29922,1
22618,0
718,0
31726,1
28183,0
10376,1
2789,0
1106,1
33869,1
27359,1
11533,0
35071,0
27011,0
22198,0
25321,0
6176,1
27881,1
6712,0
30756,0
26643,0
38488,1
38022,0
14000,0
4659,1
5568,1
26585,0
5934,0
15741,1
35527,1
17102,0
7823,0
14844,0
16413,1
31101,0
24742,0
1598,0
12058,0
24696,0
33780,0
22609,0
18492,1
5971,0
37007,1
20509,1
8779,0
37986,1
34074,1
18464,0
22383,1
2132,0
40019,0
12124,0
27131,0
10042,0
8240,0
9198,0
10087,0
18113,0
33472,0
11743,0
40399,0
32964,1
22562,0
25002,1
8751,1
4051,1
26773,0
28237,0
10458,1
9109,1
13013,0
9870,0
36589,0
21912,1
1890,1
7220,0
17971,0
31276,0
36239,0
20274,1
30263,1
37319,0
23105,1
12016,1
25495,1
8771,1
22730,0
18190,1
22798,0
2917,1
30058,1
18699,1
24804,0
2864,1
8483,0
8332,0
34167,0
2444,1
24409,1
4794,0
11717,0
33533,0
2390,1
23687,0
21052,1
24990,0
39221,1
39293,0
5221,0
14725,1
27030,0
25637,0
40055,1
10126,1
23573,1
39751,0
26305,0
39683,0
39472,0
27865,0
705,1
2146,1
1066,1
3570,1
13353,1
9324,0
3176,0
38403,0
25751,1
20564,0
19527,1
14045,0
31855,0
616,0
18393,0
1972,1
26161,0
1523,0
14511,1
7757,0
21674,0
24228,0
14646,0
18662,1
29787,0
223,1
29816,0
32501,0
16426,1
27774,0
3246,0
19125,1
14948,1
31408,0
13729,0
27409,0
38544,0
30959,0
16030,0
2798,1
40023,1
10814,0
38268,0
18833,0
20831,1
33075,0
33109,0
880,1
10783,0
28025,0
4361,0
2710,0
34688,0
1246,0
8856,1
26333,0
16637,1
17381,1
39021,1
19869,0
32395,0
2805,0
8356,0
18842,1
5425,1
15644,1
16750,0
8008,1
19652,0
10579,1
33080,0
17112,1
17196,0
1475,0
40423,1
454,0
24907,1
37293,1
40270,0
2601,1
26231,1
13480,1
34118,1
22744,1
25314,0
33865,1
33219,0
17292,1
11714,1
21532,1
35109,0
22859,0
29612,0
21276,0
15783,1
5181,0
33953,0
29183,1
23280,0
26311,1
7221,0
8604,1
15985,0
12918,1
33499,1
31457,0
23896,1
18762,1
34234,1
3813,1
25777,0
31492,0
20262,1
23379,0
173,1
20222,1
2901,1
16842,1
39900,0
24715,1
15988,0
21497,1
37875,1
5784,1
18874,1
10493,0
30272,1
11515,0
33789,1
32260,1
2405,1
8371,1
1755,0
26952,1
33287,1
34421,1
576,0
27720,1
2924,1
37979,1
17815,0
2411,1
12892,1
22719,0
16807,1
2947,0
12902,0
35861,1
3096,1
34056,1
16898,0
31013,0
12829,0
11040,0
12098,1
20596,1
5599,0
22836,0
36006,0
30570,1
22755,1
31691,1
3183,1
36709,0
30572,1
26818,1
14603,0
16089,1
28668,0
6720,0
4164,0
32354,0
38898,1
10535,1
24554,0
27003,0
4200,1
33335,1
31001,1
35263,0
7537,1
29178,0
11068,1
9037,0
8228,1
37949,0
10274,0
34672,0
14188,0
29382,0
26759,1
38418,1
29905,1
3757,1
8815,1
30801,1
17538,1
33628,1
17825,0
5173,0
38308,1
13600,0
8742,0
7420,1
32341,0
22035,0
25408,1
28695,0
32836,1
31696,0
4892,0
33416,0
24778,1
4762,1
38343,1
37082,1
8283,0
22453,0
15137,0
36690,0
7355,1
18241,0
10636,0
27680,1
1521,0
9698,1
35880,1
3402,1
29274,1
1444,0
930,0
28659,1
32294,1
17479,0
24840,0
22497,1
11609,1
24330,1
11387,0
13438,0
36111,1
26298,0
1691,1
7921,1
9534,0
34378,0
32896,1
8377,0
29881,0
995,0
14366,1
20340,1
34549,1
4191,1
13365,1
31635,1
38551,1
11013,1
7460,1
14421,1
36929,0
9573,0
26591,0
28821,0
33127,1
21358,0
21405,0
16176,1
833,1
19668,1
5081,1
21755,0
10772,0
5584,1
24041,0
27419,0
22452,0
30364,0
4110,0
1508,0
9816,1
28777,1
35327,1
26046,1
14920,0
26358,1
38843,1
3398,0
16323,1
6920,1
17828,0
20679,1
20468,0
4080,0
39707,1
474,0
28443,1
7007,1
12642,0
33432,0
28891,0
290,1
40491,0
12522,0
18560,0
4211,1
17432,1
12235,1
1173,0
18502,1
25982,0
18597,0
28864,0
9660,0
10166,0
11100,1
33918,0
4418,1
8189,1
28199,1
28822,0
21431,0
35218,1
11779,1
18934,0
36213,1
26765,1
25699,1
32244,1
37161,1
29864,0
25353,1
36688,0
30351,0
27572,1
27727,0
16394,1
15180,0
19412,1
8781,1
18027,1
21907,0
10714,0
28863,1
9222,1
20832,1
4444,1
15022,0
38900,1
19393,0
40401,0
15650,1
35389,0
18137,1
23109,0
36476,1
15481,1
34214,1
31373,0
39162,1
20220,0
17737,0
32288,0
9423,1
23588,1
11175,0
37237,1
20759,1
2677,0
6034,1
13946,1
39147,0
14848,1
21221,0
21296,0
38490,0
8651,0
12702,1
38780,1
28908,0
3745,1
24308,1
22274,1
17688,1
35038,0
29522,1
12477,0
9009,1
8227,1
31484,0
37372,0
35026,1
25271,0
20205,0
22651,0
16662,0
39243,0
20579,1
26642,1
25896,0
21187,1
39757,0
1138,0
15519,1
29214,1
28000,0
4062,0
27449,1
40426,0
19754,1
19955,0
40112,0
4713,0
3387,0
34644,1
15871,0
18332,1
7165,0
22201,1
16221,0
18600,0
7281,1
34443,0
29379,1
13332,1
28006,1
5643,0
18377,0
39933,0
18358,1
21544,1
31382,0
21491,0
32229,0
12267,0
31383,1
8757,1
2538,1
2605,0
40350,0
30510,0
37726,1
6223,0
39859,1
2619,0
37913,0
33582,0
18818,0
29936,1
14344,0
12187,0
28293,0
2883,1
2319,1
15353,1
24868,0
37569,1
35225,1
150,1
2372,0
22661,0
24313,0
36546,0
31763,1
33688,0
32895,0
28749,0
11585,1
5379,0
5117,1
10071,1
6939,0
30450,0
35107,0
9365,1
30528,1
18527,1
33741,0
17437,1
8893,1
6489,0
37312,1
19765,1
14159,0
15420,0
38217,1
15145,1
20623,0
14158,1
9052,1
27095,0
4673,1
12280,1
485,1
7791,0
26895,1
37215,0
11736,1
6068,1
24629,1
4296,1
478,0
14360,1
33729,1
20481,0
39348,0
36568,1
38943,0
7439,1
30775,1
18124,1
26022,1
3949,1
12351,1
36741,1
35979,1
27724,1
35626,0
28165,0
25308,0
32795,1
25610,0
14815,1
8978,0
17141,0
14480,1
10610,0
17893,1
2220,1
1259,1
36558,1
16522,0
37835,0
26544,0
37586,0
4344,1
14363,1
34053,0
16349,1
21758,1
1804,1
1844,0
10980,0
29987,0
20379,0
38117,0
32071,0
27695,1
21466,1
12320,0
17249,0
17418,0
20436,1
16062,1
10343,0
9995,1
7913,0
6332,1
8589,0
17708,0
30853,0
33478,0
22023,0
27899,0
33470,1
29906,1
24970,1
28452,1
38979,0
23941,0
451,1
25830,1
35885,1
16229,1
11931,1
4472,0
11733,1
32194,1
23594,0
21594,0
12029,1
8940,0
24018,0
26794,1
487,0
21030,1
37390,1
38056,1
30994,0
36617,0
5003,1
30455,0
1042,1
23936,1
14146,1
35934,0
5647,0
6619,1
269,0
23009,0
23361,1
25694,0
15637,0
8447,1
19176,1
29681,0
34223,1
27623,1
3210,1
1190,0
27354,0
33809,1
13098,0
563,1
20053,0
39680,1
35831,0
19608,0
34129,0
5253,0
25420,1
13505,0
37097,0
39717,0
10623,1
11414,1
351,0
9489,0
16982,0
26954,0
36869,0
36147,0
28073,0
28592,0
6373,1
16466,0
38908,0
11469,1
6713,0
14686,0
14872,0
3475,1
37802,1
6280,1
5953,1
20550,0
18453,1
32957,0
13634,0
3779,1
11973,1
36103,1
483,1
1380,0
38481,1
2281,0
35103,0
6087,1
11792,1
10501,1
12340,1
9279,0
35097,1
12146,0
20856,0
32816,1
39645,0
26106,0
25201,1
26343,1
34194,1
18498,1
21829,0
28715,1
12249,0
10039,0
6289,0
18370,1
22014,0
19378,0
30446,1
23935,1
26894,1
7356,1
5332,0
19821,0
11617,1
29284,1
607,0
5420,0
35761,0
34255,1
10898,1
35052,1
36882,0
25402,0
21879,0
10989,0
19845,0
22581,0
4195,1
38556,1
37552,0
19452,0
32704,1
14573,0
29243,0
10981,1
10809,1
25090,0
34697,1
18159,0
7429,1
12106,0
33879,1
25621,1
37055,0
15219,0
13295,1
22109,0
25412,0
13933,1
14170,0
36942,0
20721,1
17405,0
29242,0
34925,0
26481,0
24168,1
10726,0
37623,1
33644,1
10727,0
27150,1
7700,0
15001,0
1309,1
26323,0
21421,1
32982,1
7912,1
34778,0
17556,1
3050,0
6750,1
23445,0
8715,0
5390,0
27719,0
506,0
34597,0
10788,1
2136,0
19592,0
33000,0
30688,0
9098,0
19637,0
8276,1
16497,1
37095,0
11379,0
4365,0
8852,0
3752,1
21861,0
12347,0
34539,0
20540,1
20216,1
25110,1
10513,1
176,0
34647,0
28917,1
10509,0
9199,1
15578,0
6690,1
33947,0
29303,1
16894,1
21500,1
38134,1
6627,1
31612,0
19536,0
3710,1
25285,1
23794,0
29569,1
13128,1
26413,1
13144,0
15537,1
12830,0
7553,0
22608,0
14782,0
32770,0
23491,1
18585,0
8281,0
19166,1
31016,0
26154,1
13399,0
6987,0
22938,1
2084,1
15609,1
1399,0
29622,1
31391,1
15532,0
9075,1
38066,1
9307,1
8731,1
21853,0
35313,1
17512,0
33115,0
5669,1
28260,1
15475,1
10823,1
8454,0
32709,0
16451,1
36374,0
36847,1
15113,1
37039,0
4440,1
13680,1
4398,1
21169,0
25028,0
35521,1
18525,0
10250,0
8575,1
10201,0
33007,0
2194,0
15509,0
20925,1
9545,1
12694,0
14350,0
13316,0
15841,1
35473,0
21880,0
14129,1
17090,1
31040,0
39332,1
7819,1
21024,1
21978,1
15319,1
26363,1
26667,0
39636,1
40005,1
1671,0
23721,0
15885,1
23102,1
24948,1
8505,0
27443,1
2582,1
9407,0
28086,1
22013,0
30552,0
13177,0
27283,0
5222,0
38164,1
21109,1
17407,0
30260,0
1558,0
16929,0
17365,1
21060,1
2898,0
24641,1
2018,1
20794,1
25516,1
8902,1
30423,0
18016,1
23828,0
11890,0
14907,1
9362,0
35942,1
19147,0
21089,1
21613,0
8233,1
2993,1
25036,0
1057,0
38970,1
17912,0
26446,0
11229,1
20525,1
19639,0
24745,0
11718,0
18773,1
9900,0
12244,1
23900,1
33788,0
9513,1
22756,0
7199,1
21659,1
36471,0
23992,0
36653,0
4230,0
31931,1
15933,0
1455,0
9642,0
35341,0
2718,0
11847,0
39902,1
7682,0
37003,1
33301,1
15838,0
20643,1
15902,0
17394,0
18389,0
27969,1
11052,0
3498,1
37045,0
39474,1
28472,0
22355,1
36356,0
29851,1
1056,0
21355,1
29614,1
33800,1
11838,1
37138,1
19806,1
21482,0
19951,1
17943,1
852,0
4490,1
15081,0
20798,1
13525,0
9938,1
30727,1
18505,0
25755,0
36680,0
1388,0
5601,0
28274,1
6377,1
14930,0
7113,1
9809,0
37406,1
20112,0
8051,0
31000,0
31905,0
18275,0
27558,0
11216,0
27592,0
33438,0
34621,1
8886,1
26487,1
32945,1
14657,0
29980,1
9653,1
4408,1
19876,1
39394,0
17851,1
2441,1
20944,1
2120,0
28934,0
25260,0
4024,1
